Excluding Airwave, Managed and Support Services, grew 8% ||| products_services Positive Confident
In the labor-based business, revenues declined 1% versus Q3 of last year, while the contract optimization business was down 11% ||| sales Negative
Thank you, Jim ||| Neutral
Absent this, the IP-led product business grew approximately 3% ||| products_services Positive Confident
cash walk-in ||| Neutral
Thats an in-restaurant promotion, although its the ultimate convenience because the consumer gets to take a to-go meal home with that, but thats all logged in restaurant ||| products_services Neutral
Taken together, our strategy of Go Deeper, Go Local and Go Beyond will drive additional value creation for our customers, our clients, physician partners, and communities, and as a result for our shareholders ||| Neutral Confident
So the short answer is, it's just more term ||| Neutral
Yeah ||| Neutral
It's starting to pivot to consumed ||| Neutral
That's the way as you described it ||| Neutral
So even though the PEO has an absolute lower margin, the fact that its margin has been improving as much as it has combined with the slower growth of pass-through costs made this a moot point for the first two quarters of this year ||| sales,earnings,op_costs Positive Confident
We're not relying on a rip-and-replace hardware cycle for growth at this point in time ||| sales Positive Confident
Were talking about less than a couple million dollars, maybe, in a quarter on CPG sales ||| Neutral
Thanks, Harlan ||| Neutral
India has launched RuPay and UID ||| Neutral
beauty program as well as the upgrades to our IT systems, which we have previously talked about ||| op_risks Positive Uncertain
About 55% to 60% of that was the contributions for what we would call the more mature stores ||| Neutral
We're going to pay down incremental $300 million of debt, which we did during the quarter; dividends around $280 million, CapEx we're guiding about $175 million and M&A in the $100 million range ||| organic_expansion,acquisitions,debt Negative
So the folks that are like 9% of our loyalty members that are on the channel, multi-channel right now by far our best guests in terms of spending almost three times the amount of somebody whos only shopping in store, but she is also shopping even more in-store than before ||| sales Positive
As a result we are seeing generic compliance rates gradually improve with customers which translates the higher volumes ||| products_services Positive Confident
This phenomenon is going to continue, in our opinion, and thats why it would be sustainable ||| Positive Confident
So, when you think about the cost to do those things, there really is no cost to do that and then there's the remaining 25% that would be more structural and that's why we're evaluating the restructuring that we have in 2018 employing forward ||| op_costs Neutral Uncertain
Lower interest expense from a year ago was largely offset by withholding taxes for licensing revenue ||| sales,op_costs Neutral
And so we are seeing revenue growth in the base of customers with our Performance and Security products ||| sales,products_services Neutral
You should expect to hear further developments on this effort in the fourth quarter call as we expand this ||| Neutral
Third quarter net interest expense, taxes and other was $45 million, up slightly from $43 million a year ago ||| op_costs Neutral
We have more than 15,000 SKUs broad-based ||| products_services Positive Confident
As further evidence that Taco Bell continues to be a distinctive and relevant brand, news from Taco Bell saying, "I do," to weddings at the Las Vegas store appeared in top tier national food and lifestyle outlets ||| Neutral
We are industrializing some of the programs ||| Neutral
For full-year 2017 and the first quarter, we expect low single-digit growth year over year, ahead of forecasted market growth rates ||| sales Positive Confident
That should be expected and it follows the pattern that we've seen over this recovery in the last few years, which is you'd very occupancy levels, you're lapping over high occupancy levels, you have 85% of your group business on the books and so sort of the math  the math on that is you would generally see some of the pace and position numbers decline a little bit as the year goes on ||| Neutral
So the number of people who are contracting for services right now, people have to get an exception to not contract for services ||| products_services Neutral
We think that could be a possible scenario going forward ||| Neutral
These companies are all in growth markets and we are accelerating their performance by leveraging our go-to-market channels ||| sales Positive Confident
We do this so you can understand the true organic growth in our Research segment ||| sales,organic_expansion Positive Confident
That's the net number of what they're seeing ||| earnings Neutral
And so, we took a hard look at long-term interest rates, equity risk premiums, betas in our model ||| op_risks Neutral Uncertain
But expect margin performance to improve as we put these issues behind us in early 2018. In Industrial Solutions, we expect to grow high single digits on a reported basis and mid-single digits organically, with growth expected across all three of our business units ||| sales,earnings,organic_expansion Positive Confident
As we've said in the past, the headwinds from mature solutions will lessen, allowing the growth of the strategic solutions to return the company to moderated revenue growth in fiscal year 2018. Consistent with the plan we've laid out and as you saw in our Q3 results and Q4 guidance included in our press release, the momentum of our strategic solutions is already delivering top line growth ||| sales Positive Confident
Our data-centric businesses are the company's growth engine ||| sales Positive Confident
Now let's turn to our outlook ||| Neutral
revenue increased 19% in the region or 22% constant currency on transaction growth of 17% ||| sales Positive Confident
and our international markets ||| Neutral Confident
We haven't given you the exact numbers ||| Positive Confident
Thats 110 basis points down versus 2016 and half of that is foreign exchange and the other half is the product development and the marketing investments that we talked about ||| Neutral
Thanks ||| Neutral
Direct spending came in at $5.4 billion, flat year over year and down 2 points as a percent of revenue from 2016 as we continued to execute on our restructuring program ||| sales Negative
In addition, the higher growth rate this quarter was aided by post-launch inventory drawdown in the prior period ||| sales Positive Confident
Excluding the one-time adjustments, we saw good operating profit dollar expansion year-over-year ||| earnings,organic_expansion Positive Confident
So first wanted to lay that groundwork ||| Neutral
Yes, we will look at some of their sectors for our patient service centers, but as importantly, what I said in my introductory remarks is, we are actually going to use this strong metric to provide some of the basic healthcare services that help with what we could do with population [indiscernible] to cost curve ||| products_services Positive Confident
Yeah, thanks ||| Positive Confident
I mean, I think in general that we continue to get good traction in upgrading Ion to our customers that buy our Web performance products that you can imagine that it's kind of a hierarchy of  it starts with customers that really, really care about performance ||| products_services Positive Uncertain
And so we think the elasticity is there by taking the prices per gene and therefore the prices per genome down below the X, it overall expands the market ||| earnings Positive Confident
Thank you, Satya, and good afternoon, everyone ||| Neutral
And then the other things Julian, asking about Silverline, I think you missed in this script was, were very much using Silverline as a competitive advantage, just against cloud based solutions and other service solution ||| products_services Neutral Uncertain
And then there is what we expect in the future ||| Neutral
For the first half of the year, revenue increased 2.1% on an organic basis and adjusted EBITDA grew to $911 million, a 4.6% increase compared to the prior year period ||| sales,earnings,organic_expansion Positive Confident
At this point, we plan to file preliminary 2018 rates with the assumption that the cost sharing reduction subsidies will be funded ||| op_costs Negative Confident
I will now shift to discuss cash flow ||| Neutral
We have a lot more to do ||| Neutral
However, I wanted to share the tremendous progress we've made over the 12-month period ending in fiscal Q3. During that time, our bit output has been above industry average for both DRAM and trade NAND and our cost per bit has declined approximately 25% and 30% in those technologies respectively ||| op_costs Negative
Over the past five years, we have lowered the company's share count by over 7 million shares or 4% while also spending nearly $1 billion in strategic acquisitions, thereby deploying capital in areas that we believe are in the best long-term interests of the company and our shareholders ||| acquisitions Neutral
So what that means to our gross loss rates were down 18 bps year-over-year, take away the 15 basis points for the improved from the hurricanes, and that's roughly the flat year-over-year change in our gross loss rates ||| earnings Negative
I believe we are poised to see increased growth in year-over-year product revenue in Q2 and we have every opportunity to build in that momentum for the second half of fiscal 2017. In conclusion, Id like to thank the entire F5 team, our partners, and customers for their support last quarter, and with that well now hand the call over for Q&A ||| sales,products_services Positive Confident
At the center of every great experience are customer intelligence and amazing design, and these are Adobes core competencies ||| products_services Positive Confident
So this is our view for the full year ||| Neutral
Part of it, it's sometimes hard ||| Neutral
If you think about some of the transitions we've already started making in the last few months around reorganizing the engineering team, the product teams and all these others ||| products_services Neutral Uncertain
Yeah, if you remember specifically, we tried to give you an implied number associate, but we're trying to give percentage growth over that horizon ||| sales Positive Confident
Unknown Speaker Okay ||| Neutral
It's been an exciting market ||| Neutral
Thats certainly chapter two ||| Neutral
I know you're asking about R&D, but we like to look at it as OpEx because there are a lot of pieces there that we think of as investments, investments in sales, in the sales force, in ti ||| organic_expansion Neutral Uncertain
So, I would say and as I mentioned in my remarks, there's no one single thing driving the growth of those net new active ||| sales Positive Confident
So what you see here really is just a little softening in media growth kind of in our Americas region and in the area that we mentioned ||| sales Neutral
And what we saw in the quarter, we also had good reported growth in that business of 8%, and that's because Argentina didn't devalue as much as we had expected ||| sales Positive Confident
But just want to point out ||| Neutral
So, in summary, the segment continued to make progress in several key areas ||| Neutral Confident
We're seeing double digit volume and transaction growth across most of our markets ||| sales Positive Confident
We intend to be -- continue to be acquisitive ||| Neutral
Real important question ||| Neutral Confident
If you go into the tax rate, Brett, if you go back to May, we looked at the bridge of earnings growth over the next couple of years ||| sales,earnings Positive Confident
Let's move to the individual segments ||| Neutral
I think every transaction is competitive ||| Neutral
Contributing to stronger product revenue growth, the entire family of new iSeries appliances was available for the entire quarter ||| sales,products_services Positive Confident
We saw strong growth in peer-to-peer payments, with P2P payment volume growing 57%, more than $64 billion for the year ||| sales Positive Confident
Generally, when we look at the capital spend that we'd had in the engineering spend, we are able to do the work that we want to do from AD perspective, and by the way an EV perspective and a connectivity perspective ||| Neutral
So it looks to be taking the same shape ||| Neutral
, our high-end La Mer and Jo Malone brands entered Sephoras flagship stores and began selling on its website, joining many of other brands  of our brands that are already successful there ||| products_services Positive Confident
Performance and Security Solutions contributed over 60% of our total revenue in Q1. We are very pleased with the continued revenue diversification into our highly differentiated, higher margin and more stable subscription model offerings ||| sales,earnings Positive Confident
Thanks, George ||| Neutral
The first one is just typical seasonality ||| Neutral
Let's flip over to page four ||| Neutral
In closing, we're pleased with our ability to response to the challenges we faced in fiscal 2017. This year, we began to see signs that are improving service metrics and our progress on client upgrades are helping to drive improvements and retention ||| products_services Positive Confident
It could be used globally ||| Neutral
We do expect to have continued strong growth in Performance and Security, continue to expect to have good growth within Services ||| products_services Positive Confident
Our Software-as-a-Service revenue continues to grow rapidly ||| earnings Positive Confident
That alone does not account for the acceleration in CV growth ||| sales Positive Confident
I have the same view of Alipay ||| Neutral
Hi, Jeff ||| Neutral
I don't think there's any question about that ||| Neutral
During the fourth quarter, we saw an acceleration in our contract value growth along with sequential improvements in our retention metrics and sales productivity ||| sales,products_services Positive Confident
We said that's our number one priority ||| Neutral
So I don't want to speculate on that ||| Neutral Confident
The ramp is right within the range we predicted it to be from a ramp of that product The second part of your question, is 7% high single digits, I'll just make it simple and say look, if you look mathematically, I think it would meet a minima of high single digits, but it's certainly not necessarily where we're targeting to get to, but it's a high single digit number ||| products_services Neutral Uncertain
And obviously we are several billion ||| Neutral
On an organic basis, excluding the contribution of L2, which we acquired in March 2017, total contract value growth for the traditional Gartner Research would have been 14% on an FX-neutral basis, also consistent with the growth we delivered last quarter ||| sales,organic_expansion Positive Confident
We think there maybe some opportunity to cross-sell our traditional services into their clients and we'll continue to execute on that going forward ||| products_services Neutral Uncertain
Well, thanks, Nancy ||| Neutral Confident
We're looking for various forms of counterfeiting of products that may be trying to find their way into the market ||| products_services Neutral Uncertain
So when you look at the pieces, the shorter cycle portions of the business and the channel reflects that as would some of the lower purchase price, lower aggregate priced instrumentation, had a good quarter in terms of growth and what was also encouraging is that bookings were continuing to grow in the longer cycle products, the things that we mentioned last quarter ||| earnings Positive Confident
I'll just leave it there ||| Neutral
We anticipate continued earnings before tax growth in 2017, as we execute the full captive strategy in the United States ||| earnings Positive Confident
And we're highly confident that because of the quality of the food we're putting into products this year, in particular in frozen meals, that we will get strong repeat ||| products_services Positive Confident
But it is a good question ||| Neutral
ADP revenues for the quarter grew 5% on a reported basis, 6% organic ||| sales,organic_expansion Positive Confident
Those are programs that take a significant amount of time if you know our products ||| products_services Positive Confident
Thank you, Barbara ||| Neutral
Its far exceeded our expectations ||| Neutral
The highlight of the quarter was a return to product revenue growth, which will remain our number one financial clarity throughout fiscal 2017. We continue to make good progress on sales execution fueled by the vast array of new products that we introduced in the second half of fiscal 2016 and the first quarter of fiscal 2017. Product sales in our Americas region continue to improve with another quarter of year-over-year sales product growth ||| sales,products_services Positive Confident
Our effective rate is currently at 4.8% system-wide and heading towards the 5.6% as contracts step up to current rates, increasing roughly 10 basis points per year ||| Neutral
Physicians will become very comfortable using KEYTRUDA as the drug of choice in first-line lung where it's approved ||| products_services Positive Confident
Overall, U.S ||| organic_expansion Neutral Confident
I am hopeful they will finalize that ||| Neutral
There is clearly an opportunity for us to think about innovation for e-commerce, which is what we are all focused on ||| organic_expansion Positive Confident
Thanks, Mitch ||| Neutral
And that also strengthens our A4 business ||| Neutral
Our goal is to re-accelerate the top-line growth back into double-digit levels in the longer-term ||| sales Neutral
So again, we're going into a bit of uncharted territory, Ben, and we'll keep you tuned in on what we learn ||| Neutral Confident
Excluding these charges, non-GAAP cash operating expenses were $230 million, up $23 million from Q3 levels ||| op_costs Neutral
One thing we talk about a lot is the uptake in the product refresh, and I think at times we don't draw the conclusion we want you to draw when we make these comments, because we talk about  in the first full quarter, we want to see roughly 25% and we see that increasing over four quarters to 80% ||| products_services Neutral Uncertain
